WKT,ad,adet,tip
"POINT (27.1828855 38.3693315)",1416. Sk. No:1,1.0,2.0
"POINT (27.1863413 38.3700216)",Ahmet Piriştina Blv No:38,1.0,2.0
"POINT (27.1875407 38.3700222)",Ahmet Piriştina Blv No:42,1.0,2.0
"POINT (27.1872239 38.370045)",Ahmet Piriştina Bulvarı,1.0,2.0
"POINT (27.1891417 38.3698815)",Ahmet Piriştina Blv No:48,1.0,2.0
"POINT (27.1906243 38.3698036)",Ahmet Piriştina Blv No:54/A,1.0,2.0
"POINT (27.1911026 38.369806)",Ahmet Piriştina Blv No:56/B,1.0,2.0
"POINT (27.1916278 38.3698202)",Ahmet Piriştina Blv No:60,1.0,2.0
"POINT (27.194167 38.3700367)",Ahmet Piriştina Blv No:72,1.0,2.0
"POINT (27.1927159 38.3677339)",205/3 sk no:22,1.0,2.0
"POINT (27.1941148 38.3681137)",205/6. Sk. No:8,1.0,2.0
"POINT (27.1951829 38.3679245)",205/6. Sokak,1.0,2.0
"POINT (27.1934526 38.3690049)",205/2. Sk. No:10,1.0,2.0
"POINT (27.1953527 38.3656204)",205/31. Sk. No:44,2.0,1.0
"POINT (27.1873373 38.3672683)",1410. Sk. No:1,1.0,1.0
"POINT (27.1873425 38.3671016)",1410. Sk. No:3,1.0,1.0
"POINT (27.19453 38.372109)",coffy önü,2.0,1.0
