WKT,ad,açıklama,id,mahalle
"POINT (27.1873437 38.3679289)",,,406.0,depo_baglanti
"POINT (27.1870712 38.3677853)",,,346.0,depo_baglanti
"POINT (27.1829332 38.3684797)",,,340.0,depo_baglanti
"POINT (27.1828693 38.3695281)",,,338.0,depo_baglanti
"POINT (27.1835355 38.3686804)",,,342.0,depo_baglanti
"POINT (27.1829417 38.3686884)",,,339.0,depo_baglanti
"POINT (27.1870867 38.3701333)",,,249.0,depo_baglanti
"POINT (27.1769799 38.3762664)",Nokta 316,,45.0,depo_baglanti
"POINT (27.1814644 38.3722786)",Nokta 318,,44.0,depo_baglanti
"POINT (27.1841742 38.3725002)",Nokta 319,,43.0,depo_baglanti
"POINT (27.1839791 38.3718576)",Nokta 322,,42.0,depo_baglanti
"POINT (27.1839821 38.3697505)",Nokta 327,,41.0,depo_baglanti
"POINT (27.1815788 38.3697294)",Nokta 328,,40.0,depo_baglanti
"POINT (27.1929382 38.3718764)",,,387.0,depo_baglanti
"POINT (27.1839644 38.3717095)",Nokta 323,,39.0,depo_baglanti
"POINT (27.1872888 38.3712761)",Nokta 325,,38.0,depo_baglanti
"POINT (27.1876637 38.3719601)",,,242.0,depo_baglanti
"POINT (27.1875887 38.3716946)",,,243.0,depo_baglanti
"POINT (27.1883022 38.3708236)",,,246.0,depo_baglanti
"POINT (27.1885429 38.3714498)",,,325.0,depo_baglanti
"POINT (27.1883487 38.3709165)",,,329.0,depo_baglanti
"POINT (27.1893497 38.3716901)",,,324.0,depo_baglanti
"POINT (27.1898017 38.3715976)",,,323.0,depo_baglanti
"POINT (27.1916028 38.3721771)",,,391.0,depo_baglanti
"POINT (27.1904724 38.3724412)",,,319.0,depo_baglanti
"POINT (27.1911572 38.3722752)",,,392.0,depo_baglanti
"POINT (27.187739 38.3723453)",,,241.0,depo_baglanti
"POINT (27.1901273 38.371978)",,,321.0,depo_baglanti
"POINT (27.190419 38.3719497)",,,320.0,depo_baglanti
"POINT (27.1910668 38.3718872)",,,430.0,depo_baglanti
"POINT (27.1916209 38.371862)",,,390.0,depo_baglanti
"POINT (27.193272 38.3722172)",,,303.0,depo_baglanti
"POINT (27.1923723 38.3721617)",,,305.0,depo_baglanti
"POINT (27.1893246 38.3706944)",,,330.0,depo_baglanti
"POINT (27.1900003 38.3707055)",,,331.0,depo_baglanti
"POINT (27.190119 38.3717152)",,,322.0,depo_baglanti
"POINT (27.1916525 38.3716274)",,,389.0,depo_baglanti
"POINT (27.1885311 38.3721526)",,,240.0,depo_baglanti
"POINT (27.1883799 38.3717866)",,,326.0,depo_baglanti
"POINT (27.1876822 38.3709733)",,,244.0,depo_baglanti
"POINT (27.1880015 38.370898)",,,245.0,depo_baglanti
"POINT (27.1882763 38.3715437)",,,327.0,depo_baglanti
"POINT (27.1879033 38.3716261)",,,328.0,depo_baglanti
