WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avgataturk_sefer1_service,avgataturk_sefer1_sira,avgataturk_sefer2_service,avgataturk_sefer2_sira,avg_gecis,azu_gecis,mahalle,trafik_seviyesi
"LINESTRING (27.1801155 38.3664494, 27.1812279 38.3663616, 27.181878 38.3663359, 27.1821543 38.3663532, 27.1823374 38.3664032, 27.1824768 38.3664713, 27.1828545 38.3667282)",,200/70 sk.,200,0.0,253.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1835355 38.3686804, 27.1840652 38.3687246, 27.1853911 38.3687866)",,1403. sk.,342,343.0,162.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1853911 38.3687866, 27.1870466 38.3688768, 27.1872028 38.3688781)",,1403. sk.,343,403.0,158.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1880545 38.3700672, 27.1895835 38.3699357, 27.18999 38.3699165)",,1401. sk.,332,247.0,170.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.182872 38.3695284, 27.1831536 38.3695326, 27.1832716 38.3695394, 27.1853692 38.3698712)",,Ahmet Pristina Blv.,338,337.0,319.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1821539 38.368054, 27.1820262 38.3681455, 27.1819517 38.3681845, 27.1818597 38.3682213, 27.1817721 38.3684725, 27.18171 38.36861, 27.1816819 38.3687109, 27.1816618 38.3690274, 27.1816618 38.3692619, 27.1817198 38.3694325, 27.1817508 38.3695388, 27.181763 38.3696115)",,1413. sk.,250,251.0,190.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1872105 38.3700447, 27.187251 38.3700439, 27.1881345 38.3699727)",,Ahmet Pristina Blv.,335,334.0,81.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1871977 38.3701313, 27.1880545 38.3700672)",,Ahmet Pristina Blv.,247,248.0,75.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1871977 38.3701313, 27.1872105 38.3700447)",,1408. sk.,335,248.0,10.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1871026 38.3700424, 27.1872105 38.3700447)",,1401. sk.,336,335.0,9.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1872732 38.3688782, 27.1881757 38.368877)",,1403. sk.,404,407.0,79.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1872732 38.3688782, 27.1872476 38.3691622, 27.1872496 38.3695176, 27.1872105 38.3700447)",,1408. sk.,404,335.0,130.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1872028 38.3688781, 27.1872732 38.3688782)",,1403. sk.,403,404.0,6.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1871026 38.3700424, 27.1871381 38.3698517, 27.187181 38.36951, 27.187181 38.3691714, 27.1872028 38.3688781)",,1408. sk.,336,403.0,130.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1854527 38.3677292, 27.1870712 38.3677853)",,1405. sk.,344,346.0,141.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1870712 38.3677853, 27.1870717 38.3677604, 27.1870824 38.3677299, 27.1870978 38.3677023, 27.1871216 38.3676758, 27.1871471 38.3676576, 27.1871806 38.36764, 27.1872152 38.3676298, 27.1872497 38.3676241)",,1408. sk.,346,347.0,26.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1872497 38.3676241, 27.1873245 38.3676283)",,1408. sk.,347,348.0,7.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1873245 38.3676283, 27.1873931 38.3676557, 27.187422 38.3676743, 27.1874458 38.3676983, 27.1874608 38.3677251, 27.1874686 38.3677487, 27.1874741 38.36778)",,1408. sk.,348,349.0,23.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1874741 38.36778, 27.1882209 38.3678127)",,1407. sk.,349,350.0,65.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1870712 38.3677853, 27.1870771 38.3678188, 27.1871083 38.3678716, 27.1871566 38.3679068, 27.1872632 38.3679373)",,1408. sk.,405,346.0,26.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1872632 38.3679373, 27.1873007 38.367936, 27.1873437 38.3679289)",,1408. sk.,406,405.0,7.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1873437 38.3679289, 27.1874041 38.3679017, 27.1874316 38.3678801, 27.1874484 38.367857, 27.1874638 38.3678252, 27.1874741 38.36778)",,1408. sk.,349,406.0,21.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1872632 38.3679373, 27.1872728 38.3682454, 27.1872028 38.3688781)",,1408. sk.,403,405.0,105.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1872732 38.3688782, 27.1873184 38.3682481, 27.1873437 38.3679289)",,1408. sk.,406,404.0,106.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1821539 38.368054, 27.1826281 38.3683349, 27.1828726 38.3684609, 27.1829332 38.3684797)",,1403. sk.,251,340.0,83.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1829332 38.3684797, 27.1835352 38.3685473)",,1403. sk.,340,341.0,53.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
