WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avg297_sefer1_service,avg297_sefer1_sira,ayt275_sefer1_service,ayt275_sefer1_sira,avg_gecis,ayt_gecis,azu_gecis,mahalle
"LINESTRING (27.1937698 38.3708804, 27.1940191 38.3703876)",,203/20 sk.,296,297,59,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1943782 38.3710312, 27.1950147 38.3711632)",,203/1 sk.,224,298,57,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1940191 38.3703876, 27.1951875 38.3706995)",,203/25 sk.,223,296,108,1400,0,cift,0,0,1,10,0,1,0,kurucesme
"LINESTRING (27.1916855 38.3706203, 27.1917042 38.3703701)",,203/37 sk.,400,401,28,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1917042 38.3703701, 27.1917229 38.369919)",,203/37 sk.,401,402,50,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1931324 38.3706497, 27.1932361 38.3704181)",,205 sk.,382,383,27,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932361 38.3704181, 27.1932723 38.370279, 27.193293 38.3701396, 27.1932873 38.3699882)",,205 sk.,381,382,48,4200,0,cift,1,49,0,0,1,1,1,kurucesme
"LINESTRING (27.1917042 38.3703701, 27.1922805 38.3703921, 27.1929792 38.3704115, 27.1932361 38.3704181)",,203/32 sk.,382,401,134,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1940191 38.3703876, 27.1940939 38.3700976)",,203/20 sk.,295,296,33,1400,0,cift,0,0,1,11,0,1,0,kurucesme
"LINESTRING (27.1908645 38.3728826, 27.1907788 38.3723874)",,Hacı Bektas Veli Sk.,317,318,56,1400,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1886211 38.3726431, 27.1885311 38.3721526)",,206/54 sk.,239,240,55,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1904724 38.3724412, 27.190419 38.3719497)",,203/39 sk.,319,320,55,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1892203 38.3734965, 27.1892858 38.3736287, 27.1893662 38.3737286, 27.189536 38.3738866)",,202/3 sk.,237,238,52,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.189536 38.3738866, 27.189667 38.373804, 27.1898158 38.3737504, 27.1901765 38.3736929)",,202/5 sk.,237,314,61,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1901765 38.3736929, 27.1901412 38.373264)",,202 sk.,314,315,48,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1892203 38.3734965, 27.1901412 38.373264)",,202/50 sk.,238,315,84,0,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1901412 38.373264, 27.1902984 38.3732272, 27.1909014 38.3731472)",,202/50 sk.,315,316,68,700,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1909014 38.3731472, 27.1908645 38.3728826)",,Hacı Bektas Veli Sk.,316,317,30,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.190902 38.3732095, 27.1909014 38.3731472)",,Hacı Bektas Veli Sk.,316,393,7,0,0,cift,0,0,0,0,1,1,1,kurucesme
