WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avg297_sefer1_service,avg297_sefer1_sira,ayt275_sefer1_service,ayt275_sefer1_sira,avg_gecis,ayt_gecis,azu_gecis,mahalle
"LINESTRING (27.195564 38.3705649, 27.195544 38.3706049, 27.1952275 38.3711452, 27.1950505 38.3715626, 27.1947562 38.3720151, 27.1944438 38.3724388, 27.1936847 38.373434, 27.1929856 38.3743413, 27.1926592 38.3747715, 27.1922784 38.375238, 27.19205 38.3754341, 27.1918222 38.3756953, 27.1916794 38.3758861, 27.191271 38.3761739, 27.1908459 38.3764511, 27.1902461 38.3768498, 27.1902125 38.3768701, 27.1901869 38.3769078, 27.1901571 38.3769419, 27.1900993 38.3769745, 27.1900475 38.3769886, 27.1900084 38.3769938)",,Dogus cd.,221,439,877,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1881345 38.3699727, 27.1899871 38.3698061)",,Ahmet Piristina blv,334,333,163,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1881757 38.368877, 27.1881345 38.3699727)",,1412 sk.,334,407,122,3500,0,cift,1,48,0,0,1,1,1,kurucesme
"LINESTRING (27.1881757 38.368877, 27.1897909 38.3687934)",,1403 sk.,407,438,141,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1881757 38.368877, 27.1882209 38.3678127)",,1412 sk.,350,407,119,2100,0,cift,1,47,0,0,1,1,1,kurucesme
"LINESTRING (27.1899871 38.3698061, 27.1899296 38.3693914)",,1409 sk.,333,422,46,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1898779 38.3692055, 27.1897909 38.3687934)",,1409 sk.,421,438,46,700,0,cift,1,43,0,0,1,1,1,kurucesme
"LINESTRING (27.189235 38.3675666, 27.1896651 38.3680462)",,1409 sk.,351,408,65,700,0,cift,1,36,0,0,1,1,1,kurucesme
"LINESTRING (27.1896651 38.3680462, 27.1902147 38.3678622)",,205/19 sk.,408,409,52,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1896153 38.3659436, 27.1898828 38.3655627, 27.1900859 38.3656803, 27.1901037 38.3656918, 27.1904774 38.3659835, 27.1905241 38.3660351)",,205/27 sk.,204,205,126,3500,0,cift,0,0,1,1,0,1,0,kurucesme
"LINESTRING (27.1896153 38.3659436, 27.1898484 38.3660635, 27.1900014 38.3661464)",,205 sk.,204,266,41,700,0,cift,1,6,0,0,1,1,1,kurucesme
"LINESTRING (27.1894878 38.3665559, 27.1900014 38.3661464)",,205/24 sk.,265,266,64,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1864646 38.3655608, 27.1868489 38.3654689, 27.1869951 38.365472, 27.1872178 38.3654952, 27.1876761 38.3655241, 27.188246 38.3655343, 27.1884365 38.3655548, 27.1892787 38.3657875, 27.1893474 38.3658169, 27.1893786 38.3658461, 27.189402 38.3658964, 27.1896153 38.3659436)",,,203,204,288,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1864646 38.3655608, 27.18641 38.3660389)",,Park İci Yolu,203,258,53,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.18641 38.3660389, 27.1865377 38.3660828, 27.1865977 38.3660978, 27.186648 38.3661049, 27.1866889 38.3661051, 27.1867728 38.3660996, 27.1869055 38.3660618, 27.1873193 38.3659808)",,205 sk.,258,259,83,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1873193 38.3659808, 27.1879672 38.3658789)",,205 sk.,259,260,58,700,0,cift,1,40,0,0,1,1,1,kurucesme
"LINESTRING (27.1873193 38.3659808, 27.1873456 38.3660987, 27.1873489 38.3661447)",,1410 sk.,259,261,18,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.18641 38.3660389, 27.1864211 38.3661673, 27.1864022 38.3666741)",,Park İci Yolu,257,258,71,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1884095 38.3669195, 27.1889222 38.3663824, 27.1890683 38.3662983, 27.1891193 38.3662836, 27.1892011 38.3662825, 27.1892561 38.3663062, 27.1892863 38.3663299, 27.1894878 38.3665559)",,205/16 sk.,264,265,142,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1884095 38.3669195, 27.189235 38.3675666)",,1409 sk.,264,351,102,2100,0,cift,1,4,0,0,1,1,1,kurucesme
"LINESTRING (27.189235 38.3675666, 27.1897004 38.3673415, 27.1901568 38.3670807)",,205/23 sk.,351,352,97,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1882209 38.3678127, 27.1886362 38.3678126, 27.188723 38.367791, 27.189235 38.3675666)",,1407 sk.,350,351,95,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1853692 38.3698712, 27.1856395 38.369926, 27.186306 38.3700174, 27.1865109 38.3700343, 27.1871026 38.3700424)",,1401 sk.,337,336,153,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1864022 38.3666741, 27.1872225 38.3667221, 27.1872888 38.3667195)",,1409 sk.,257,262,78,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.187351 38.3667212, 27.187416 38.3667315, 27.1880315 38.3667652, 27.1882086 38.3668188, 27.1884095 38.3669195)",,1409 sk.,263,264,97,700,0,cift,1,38,0,0,1,1,1,kurucesme
"LINESTRING (27.1828545 38.3667282, 27.1833686 38.3663916)",,1413 sk.,200,201,58,1400,0,cift,1,2,0,0,1,1,1,kurucesme
"LINESTRING (27.1833686 38.3663916, 27.1838429 38.3661625, 27.1843344 38.3659796, 27.1848245 38.3658087, 27.1856034 38.3656394)",,1413 sk.,201,202,213,2100,0,cift,1,3,0,0,1,1,1,kurucesme
"LINESTRING (27.1833686 38.3663916, 27.1836009 38.3666883, 27.1837062 38.3669194, 27.1838011 38.3669392, 27.184166 38.3670711)",,1415 sk.,201,255,110,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.184166 38.3670711, 27.18462 38.3671665, 27.1850599 38.367196, 27.1855385 38.3672189)",,1415 sk.,255,345,121,1400,0,cift,1,45,0,0,1,1,1,kurucesme
"LINESTRING (27.1855385 38.3672189, 27.1855824 38.3666638)",,1406 sk.,256,345,62,1400,0,cift,1,44,0,0,1,1,1,kurucesme
"LINESTRING (27.1855824 38.3666638, 27.1862187 38.3666771, 27.1864022 38.3666741)",,1409 sk.,256,257,72,2800,0,cift,1,41,0,0,1,1,1,kurucesme
"LINESTRING (27.1856034 38.3656394, 27.1864646 38.3655608)",,Park İci Yolu,202,203,76,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.184166 38.3670711, 27.1843337 38.366891, 27.1846424 38.3666926, 27.1848365 38.3666534, 27.1854256 38.3666539, 27.1855824 38.3666638)",,1409 sk. ,255,256,142,2100,0,cift,1,42,0,0,1,1,1,kurucesme
"LINESTRING (27.1856034 38.3656394, 27.1856171 38.365776, 27.1856138 38.3660173, 27.1855849 38.3661371, 27.1855824 38.3666638)",,1406 sk.,202,256,114,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1828545 38.3667282, 27.1827409 38.3668737, 27.1826973 38.366972, 27.1826222 38.3672806, 27.1826117 38.3674928, 27.1825996 38.367557, 27.1825753 38.3676263)",,1413 sk.,200,252,104,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.184166 38.3670711, 27.1841366 38.3671508, 27.1841246 38.3672139, 27.1841273 38.3673406, 27.1841114 38.3676887)",,1409 sk.,254,255,69,700,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1825753 38.3676263, 27.1832447 38.3676606, 27.1835749 38.3676875)",,1405 sk.,252,253,88,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1835749 38.3676875, 27.1835352 38.3685473)",,1402 sk.,253,341,96,2100,0,cift,1,46,0,0,1,1,1,kurucesme
"LINESTRING (27.1835749 38.3676875, 27.1841114 38.3676887)",,1405 sk.,253,254,47,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1853692 38.3698712, 27.1853734 38.3697715, 27.1854105 38.3694085, 27.1853911 38.3687866)",,1406 sk.,337,343,121,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1853911 38.3687866, 27.1854527 38.3677292)",,1406 sk.,343,344,118,1400,0,cift,1,5,0,0,1,1,1,kurucesme
"LINESTRING (27.1841114 38.3676887, 27.1854527 38.3677292)",,1405 sk.,254,344,117,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1855385 38.3672189, 27.1854527 38.3677292)",,1406 sk.,344,345,57,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1821539 38.368054, 27.1824569 38.3677659, 27.1825753 38.3676263)",,1413 sk.,251,252,60,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1801155 38.3664494, 27.1812279 38.3663616, 27.181878 38.3663359, 27.1821543 38.3663532, 27.1823374 38.3664032, 27.1824768 38.3664713, 27.1828545 38.3667282)",,200/70 sk.,0,200,253,3500,0,cift,1,1,0,0,1,1,1,kurucesme
"LINESTRING (27.1835355 38.3686804, 27.1840652 38.3687246, 27.1853911 38.3687866)",,1403 sk.,342,343,162,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1853911 38.3687866, 27.1870466 38.3688768, 27.1872028 38.3688781)",,1403 sk.,343,403,158,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1873489 38.3661447, 27.1873726 38.3662118, 27.187386 38.3662807, 27.187351 38.3667212)",,1410 sk.,261,263,65,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1873489 38.3661447, 27.1873107 38.3662902, 27.1872888 38.3667195)",,1410 sk.,262,261,64,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.187351 38.3667212, 27.1872888 38.3667195)",,1409 sk.,262,263,5,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1880545 38.3700672, 27.1880797 38.3702481, 27.1883022 38.3708236)",,203/40 sk.,246,247,87,1400,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1880545 38.3700672, 27.1895835 38.3699357, 27.18999 38.3699165)",,1401 sk. Ahmet Piristina blv,332,247,170,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.182872 38.3695284, 27.1831536 38.3695326, 27.1832716 38.3695394, 27.1853692 38.3698712)",,1401 sk. Ahmet Piristina blv,338,337,319,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1821539 38.368054, 27.1820262 38.3681455, 27.1819517 38.3681845, 27.1818597 38.3682213, 27.1817721 38.3684725, 27.18171 38.36861, 27.1816819 38.3687109, 27.1816618 38.3690274, 27.1816618 38.3692619, 27.1817198 38.3694325, 27.1817508 38.3695388, 27.181763 38.3696115)",,1413 sk.,250,251,190,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1872295 38.3700449, 27.187251 38.3700439, 27.1881345 38.3699727)",,1401 sk. Ahmet Piristina blv,335,334,79,0,6000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1871977 38.3701313, 27.1880545 38.3700672)",,1401 sk. Ahmet Piristina blv,247,248,75,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1871977 38.3701313, 27.1872105 38.3700447)",,1408 sk.,335,248,10,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1871026 38.3700424, 27.1872105 38.3700447)",,1401 sk. Ahmet Piristina blv,336,335,9,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1872732 38.3688782, 27.1881757 38.368877)",,1403 sk.,404,407,79,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1872732 38.3688782, 27.1872476 38.3691622, 27.1872496 38.3695176, 27.1872105 38.3700447)",,1408 sk.,404,335,130,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1872028 38.3688781, 27.1872732 38.3688782)",,1403 sk.,403,404,6,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1871026 38.3700424, 27.1871381 38.3698517, 27.187181 38.36951, 27.187181 38.3691714, 27.1872028 38.3688781)",,1408 sk,336,403,130,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1854527 38.3677292, 27.1870712 38.3677853)",,1405 sk.,344,346,141,0,6000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1870712 38.3677853, 27.1870717 38.3677604, 27.1870824 38.3677299, 27.1870978 38.3677023, 27.1871216 38.3676758, 27.1871471 38.3676576, 27.1871806 38.36764, 27.1872152 38.3676298, 27.1872497 38.3676241)",,,346,347,26,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1872497 38.3676241, 27.1873245 38.3676283)",,,347,348,7,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1873245 38.3676283, 27.1873931 38.3676557, 27.187422 38.3676743, 27.1874458 38.3676983, 27.1874608 38.3677251, 27.1874686 38.3677487, 27.1874741 38.36778)",,,348,349,23,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1874741 38.36778, 27.1882209 38.3678127)",,1407 sk.,349,350,65,0,6000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1870712 38.3677853, 27.1870771 38.3678188, 27.1871083 38.3678716, 27.1871566 38.3679068, 27.1872632 38.3679373)",,,405,346,26,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1872632 38.3679373, 27.1873007 38.367936, 27.1873437 38.3679289)",,,406,405,7,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1873437 38.3679289, 27.1874041 38.3679017, 27.1874316 38.3678801, 27.1874484 38.367857, 27.1874638 38.3678252, 27.1874741 38.36778)",,,349,406,21,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1872632 38.3679373, 27.1872728 38.3682454, 27.1872028 38.3688781)",,1408 sk.,403,405,105,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1872732 38.3688782, 27.1873184 38.3682481, 27.1873437 38.3679289)",,1408 sk.,406,404,106,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1872497 38.3676241, 27.1872888 38.3667195)",,1410 sk.,347,262,101,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1873245 38.3676283, 27.187351 38.3667212)",,1410 sk.,263,348,101,1400,0,tek,1,39,0,0,1,1,1,kurucesme
"LINESTRING (27.1821539 38.368054, 27.1826281 38.3683349, 27.1828726 38.3684609, 27.1829332 38.3684797)",,1403 sk.,251,340,83,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1829332 38.3684797, 27.1835352 38.3685473)",,1403 sk.,340,341,53,700,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1829332 38.3684797, 27.1829417 38.3686884)",,1416 sk. ,339,340,23,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1829417 38.3686884, 27.1835355 38.3686804)",,1403 sk.,339,342,52,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1835355 38.3686804, 27.183538 38.3686288, 27.1835352 38.3685473)",,1403 sk.,341,342,15,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1828693 38.3695281, 27.1829417 38.3686884)",,1416 sk.,338,339,94,0,6000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.181763 38.3696115, 27.182872 38.3695284)",,1401 sk. Ahmet Piristina blv,250,338,97,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1871026 38.3700424, 27.1870867 38.3701333)",,1408 sk.,249,336,10,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1870867 38.3701333, 27.1871977 38.3701313)",,1401 sk. Ahmet Piristina blv,248,249,10,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1870867 38.3701333, 27.1865232 38.3701134, 27.1862727 38.370095, 27.1849339 38.3698989, 27.1837565 38.3696896, 27.1833567 38.3696163, 27.1830884 38.36959, 27.1828638 38.3695848, 27.1817748 38.3696927, 27.181763 38.3696115)",,1401 sk. Ahmet Piristina blv,249,250,479,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1943937 38.3722698, 27.1945362 38.3721028, 27.1946309 38.3719761, 27.1947172 38.3718257)",,Dogus cd.,226,225,57,1400,0,tek,1,53,0,0,1,1,1,kurucesme
"LINESTRING (27.1900003 38.3707055, 27.18999 38.3699165)",,203/42 sk.,331,332,88,0,0,cift,0,0,0,0,1,1,1,kurucesme
