WKT,ad,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avg_gecis,ayt_gecis,azu_gecis,mahalle
"LINESTRING (27.1871026 38.3700424, 27.1871381 38.3698517, 27.187181 38.36951, 27.187181 38.3691714, 27.1872028 38.3688781)",,336.0,403.0,130.0,0.0,3000.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1854527 38.3677292, 27.1870712 38.3677853)",,344.0,346.0,141.0,0.0,6000.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1870712 38.3677853, 27.1870717 38.3677604, 27.1870824 38.3677299, 27.1870978 38.3677023, 27.1871216 38.3676758, 27.1871471 38.3676576, 27.1871806 38.36764, 27.1872152 38.3676298, 27.1872497 38.3676241)",,346.0,347.0,26.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872497 38.3676241, 27.1873245 38.3676283)",,347.0,348.0,7.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1873245 38.3676283, 27.1873931 38.3676557, 27.187422 38.3676743, 27.1874458 38.3676983, 27.1874608 38.3677251, 27.1874686 38.3677487, 27.1874741 38.36778)",,348.0,349.0,23.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1874741 38.36778, 27.1882209 38.3678127)",,349.0,350.0,65.0,0.0,6000.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1870712 38.3677853, 27.1870771 38.3678188, 27.1871083 38.3678716, 27.1871566 38.3679068, 27.1872632 38.3679373)",,405.0,346.0,26.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872632 38.3679373, 27.1873007 38.367936, 27.1873437 38.3679289)",,406.0,405.0,7.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1873437 38.3679289, 27.1874041 38.3679017, 27.1874316 38.3678801, 27.1874484 38.367857, 27.1874638 38.3678252, 27.1874741 38.36778)",,349.0,406.0,21.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872632 38.3679373, 27.1872728 38.3682454, 27.1872028 38.3688781)",,403.0,405.0,105.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872732 38.3688782, 27.1873184 38.3682481, 27.1873437 38.3679289)",,406.0,404.0,106.0,0.0,3000.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872497 38.3676241, 27.1872888 38.3667195)",,347.0,262.0,101.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1873245 38.3676283, 27.187351 38.3667212)",,263.0,348.0,101.0,1400.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872105 38.3700447, 27.1871931 38.3701308)",Çizgi 70,335.0,248.0,10.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1871931 38.3701308, 27.1870841 38.3701325)",Çizgi 71,248.0,249.0,10.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1870841 38.3701325, 27.1871026 38.3700424)",Çizgi 72,249.0,336.0,10.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
